00:13:38:05 --> 00:13:42:18 | I’m gonna set up the apparatus. Juno, do you want to plug in the Bunsen burner?
00:13:42:23 --> 00:13:43:15 | It’s my pleasure.
00:13:43:20 --> 00:13:44:20 | I’m going to the infirmary.
00:13:45:01 --> 00:13:46:08 | Good. Call me when you get off the rag.
00:13:46:13 --> 00:13:49:21 | Fine! Call me when you learn how to love someone instead of cheat at your brother’s college…
00:13:50:02 --> 00:13:54:02 | just because you had 4 Smirnoff Ices and a bottle of Sun Peak Peach-flavored Boone’s! (Smirnoff Ice: a brand of alcoholic beverage, malt-based but citrus flavored to make it more appealing to people who don’t like the taste of beer) (implying that he gets intoxicated easily on alcoholic beverages that are produced and marketed to appeal to young women; implying he’s slightly effeminate)
00:13:54:07 --> 00:13:57:02 | Good, Amanda. I’ll be sure to do that. I’ll make a note of it. (He’s being sarcastic)
00:13:59:13 --> 00:14:04:05 | I’ve actually heard that the Snow Peak Peach flavor is the best flavor of Boone’s.
00:14:05:22 --> 00:14:08:02 | Isn’t that right, Bleek?
00:14:21:23 --> 00:14:24:14 | “Oprimo numero dos.” (Spanish for Press the number two, the 2-button on the telephone)
00:14:29:14 --> 00:14:33:22 | Hey. I’m just calling to procure a hasty abortion.
00:14:34:20 --> 00:14:35:12 | What?
00:14:37:10 --> 00:14:40:09 | Can you hold on for a second? I’m on my hamburger phone.
00:14:44:22 --> 00:14:49:06 | Yeah, okay, now I can… It’s just really awkward to talk on.
00:14:50:16 --> 00:14:53:10 | Yeah, I need an abortion.
00:14:54:16 --> 00:14:56:00 | I’m sixteen.
00:14:56:22 --> 00:15:01:18 | I’m gonna say it’s been about 2 months and 4 days since the sex.
00:15:02:07 --> 00:15:04:19 | Mind you that’s just a guesstimation.
00:15:07:18 --> 00:15:09:10 | I’m sorry. How long have I been what?
00:15:10:00 --> 00:15:12:18 | I hate it when adults use the term “sexually active.”
00:15:13:04 --> 00:15:18:01 | What does it even mean? Am I gonna deactivate someday or is this a permanent state of being?
00:15:18:11 --> 00:15:22:08 | I guess Bleeker went live that night we did it and that’s why he got that look on his face.
00:15:23:13 --> 00:15:26:01 | You should have seen this octopus furnace at work.
00:15:26:06 --> 00:15:29:15 | I had to get on my Hazmat suit just to get into the thing.
