**Sh#** | **Sh** | **Time** | **In** | **Scene** | **Description** | **Title** | **Time** | **In** | **Time** | **Out** | **Dur** | **Titles**
 |  |  |  |  |  | 924 | 01:34:20:18 |  | 01:34:21:14 |  | 00:20 | The book.
 |  |  |  | quite | frankly. |  |  |  |  |  |  | 
 |  |  |  | The book. |  | 925 | 01:34:25:07 |  | 01:34:30:04 |  | 04:21 | "Conversations with the Devil"
 |  |  |  |  |  |  |  |  |  |  |  | by Dr. June Ross-Mitchell
 |  |  |  | "Conversations | with the Devil" |  |  |  |  |  |  | 
 |  |  |  | by Dr. | June Ross-Mitchell |  |  |  |  |  |  | 
533 | 01:34:28:09 |  |  | MCU | - JACK SHOWS A BOOK | 926 | 01:34:30:06 |  | 01:34:32:06 |  | 02:00 | hit shelves this week,
 |  |  |  | NAMES | ' CONVERSATIONS WITH |  |  |  |  |  |  | 
 |  |  |  | THE | DEVIL' |  |  |  |  |  |  | 
 |  |  |  |  |  | 927 | 01:34:33:03 |  | 01:34:34:17 |  | 01:14 | and it is certain
 |  |  |  |  |  |  |  |  |  |  |  | to challenge more
 |  |  |  | hit shelves | this week, |  |  |  |  |  |  | 
 |  |  |  | and it | is certain |  |  |  |  |  |  | 
 |  |  |  | to challenge | more |  |  |  |  |  |  | 
534 | 01:34:33:10 |  |  | MS - | HAIG WATCHES |  |  |  |  |  |  | 
 |  |  |  |  |  |  |  |  |  |  |  | pg. 67
535 | 01:34:33:22 |  |  | MS - | JACK HOLDS UP THE BOOK | 928 | 01:34:34:19 |  | 01:34:36:20 |  | 02:01 | than a few sceptics out there.
 |  |  |  | than | a few sceptics out there. |  |  |  |  |  |  | 
536 | 01:34:37:00 |  |  | MS - | HAIG WATCHES | 929 | 01:34:37:17 |  | 01:34:39:09 |  | 01:16 | Now, before I
 |  |  |  |  |  |  |  |  |  |  |  | bring on the doctor
 |  |  |  | Now, | before I |  |  |  |  |  |  | 
 |  |  |  | bring | on the doctor | 930 | 01:34:39:11 |  | 01:34:41:09 |  | 01:22 | and the young
 |  |  |  |  |  |  |  |  |  |  |  | subject of the book,
 |  |  |  | and the | young |  |  |  |  |  |  | 
 |  |  |  | subject | of the book, |  |  |  |  |  |  | 
537 | 01:34:39:16 |  |  | MS - | JACK EXPLAINS. THE | 931 | 01:34:41:11 |  | 01:34:42:19 |  | 01:08 | I wanted to share with you all
 |  |  |  | CAMERA | TRACKS IN |  |  |  |  |  |  | 
 |  |  |  |  |  | 932 | 01:34:42:21 |  | 01:34:46:09 |  | 03:12 | a clip produced by June's
 |  |  |  | I wanted | to share with you all |  |  |  |  |  |  | 
 |  |  |  |  |  |  |  |  |  |  |  | psi-research centre.
 |  |  |  | a clip | produced by June's |  |  |  |  |  |  | 
 |  |  |  |  |  | 933 | 01:34:46:11 |  | 01:34:50:02 |  | 03:15 | Hopefully catch us all up to
 |  |  |  | psi-research | centre. |  |  |  |  |  |  | 
 |  |  |  |  |  |  |  |  |  |  |  | speed, but please be warned,
 |  |  |  | Hopefully | catch us all up to |  |  |  |  |  |  | 
 |  |  |  |  |  | 934 | 01:34:50:04 |  | 01:34:52:03 |  | 01:23 | anyone with young children
 |  |  |  | speed, | but please be warned, |  |  |  |  |  |  | 
 |  |  |  |  |  |  |  |  |  |  |  | in the room,
 |  |  |  | anyone | with young children |  |  |  |  |  |  | 
 |  |  |  |  |  | 935 | 01:34:52:23 |  | 01:34:53:20 |  | 00:21 | what you're about to see
 |  |  |  | in the | room, |  |  |  |  |  |  | 
 |  |  |  | what | you're about to see | 936 | 01:34:53:22 |  | 01:34:57:04 |  | 03:06 | is profoundly disturbing
 |  |  |  |  |  |  |  |  |  |  |  | and shocking.
 |  |  |  | is profoundly | disturbing |  |  |  |  |  |  | 
 |  |  |  | and shocking. |  |  |  |  |  |  |  | 
 |  |  |  |  |  | 937 | 01:34:59:23 |  | 01:35:01:10 |  | 01:11 | Can we roll the tape, please?
 |  |  |  | Can | we roll the tape, please? |  |  |  |  |  |  | 
538 | 01:35:01:11 |  |  | FS - | JACK AND HAIG WATCH | 938 | 01:35:03:22 |  | 01:35:05:09 |  | 01:11 | [music begins]
 |  |  |  | [music | begins] |  |  |  |  |  |  | 
539 | 01:35:04:22 |  |  | FS - | A COTTAGE | 939 | 01:35:05:11 |  | 01:35:07:12 |  | 02:01 | NARRATOR (VO):
 |  |  |  |  |  |  |  |  |  |  |  | A seemingly ordinary house
 |  |  |  | NARRATOR | (VO): |  |  |  |  |  |  | 
 |  |  |  | A seemingly | ordinary house |  |  |  |  |  |  | 
 |  |  |  |  |  | 940 | 01:35:07:14 |  | 01:35:09:08 |  | 01:18 | on an ordinary street.
 |  |  |  | on an | ordinary street. |  |  |  |  |  |  | 
540 | 01:35:09:01 |  |  | MS - | A MAN IN A ROBE | 941 | 01:35:09:10 |  | 01:35:10:20 |  | 01:10 | Only this is the headquarters
 |  |  |  | TEXT | - LE SATANISME AUX USA |  |  |  |  |  |  | 
 |  |  |  | '71 |  | 942 | 01:35:10:22 |  | 01:35:13:23 |  | 03:01 | of the infamous
 |  |  |  |  |  |  |  |  |  |  |  | First Church of Abraxas.
 |  |  |  | Only | this is the headquarters |  |  |  |  |  |  | 
 |  |  |  |  |  | 943 | 01:35:14:01 |  | 01:35:17:18 |  | 03:17 | SZANDOR (ON/OS):
 |  |  |  | of the | infamous |  |  |  |  |  |  | 
 |  |  |  |  |  |  |  |  |  |  |  | I command thee to come forth
 |  |  |  | First | Church of Abraxas. |  |  |  |  |  |  | 
 |  |  |  | SZANDOR | (ON/OS): |  |  |  |  |  |  | 
 |  |  |  | I command | thee to come forth |  |  |  |  |  |  | 
541 | 01:35:15:01 |  |  | MS - | A WOMAN BRINGS THE | 944 | 01:35:17:20 |  | 01:35:21:10 |  | 03:14 | and bestow these
 |  |  |  | SWORD |  |  |  |  |  |  |  | blessings of hell upon us.
 |  |  |  |  |  |  |  |  |  |  |  | pg. 68
 |  |  |  | and bestow | these | 945 | 01:35:21:12 |  | 01:35:23:11 |  | 01:23 | Hail, Abraxas.
 |  |  |  | blessings | of hell upon us. |  |  |  |  |  |  | 
 |  |  |  | Hail, | Abraxas. |  |  |  |  |  |  | 
542 | 01:35:21:13 |  |  | LA MS | - D'ABO CHANTS | 946 | 01:35:23:13 |  | 01:35:25:04 |  | 01:15 | GROUP:
 |  |  |  |  |  |  |  |  |  |  |  | Hail, Abraxas
 |  |  |  | GROUP: |  |  |  |  |  |  |  | 
 |  |  |  | Hail, | Abraxas |  |  |  |  |  |  | 
543 | 01:35:24:16 |  |  | FS - | D'ABO HOLDS OUT HIS | 947 | 01:35:25:06 |  | 01:35:29:15 |  | 04:09 | NARRATOR (VO):
 |  |  |  | ARMS |  |  |  |  |  |  |  | The church's founder and leader,
 |  |  |  |  |  |  |  |  |  |  |  | the enigmatic Szandor D'Abo.
 |  |  |  | NARRATOR | (VO): |  |  |  |  |  |  | 
 |  |  |  | The church's | founder and leader, |  |  |  |  |  |  | 
 |  |  |  | the enigmatic | Szandor D'Abo. |  |  |  |  |  |  | 
544 | 01:35:28:02 |  |  | BLACK |  |  |  |  |  |  |  | 
545 | 01:35:28:05 |  |  | CU - | D'ABO STARES | 948 | 01:35:29:17 |  | 01:35:34:15 |  | 04:22 | [music ends]
 |  |  |  |  |  |  |  |  |  |  |  | SZANDOR:
 |  |  |  | [music | ends] |  |  |  |  |  |  | Abraxas shows us there is no
 |  |  |  | SZANDOR: |  |  |  |  |  |  |  | good, no evil, no redemption,
 |  |  |  | Abraxas | shows us there is no |  |  |  |  |  |  | 
 |  |  |  | good, | no evil, no redemption, |  |  |  |  |  |  | 
546 | 01:35:31:17 |  |  | MWS | - D'ABO GIVES THE | 949 | 01:35:37:05 |  | 01:35:40:13 |  | 03:08 | only what we desire
 |  |  |  | INTERVIEW |  |  |  |  |  |  |  | and how we obtain it.
 |  |  |  | only | what we desire |  |  |  |  |  |  | 
 |  |  |  |  |  | 950 | 01:35:41:09 |  | 01:35:44:19 |  | 03:10 | INTERVIEWER:
 |  |  |  | and how | we obtain it. |  |  |  |  |  |  | You make it sound very easy,
 |  |  |  |  |  |  |  |  |  |  |  | Mister D'Abo.
 |  |  |  | INTERVIEWER: |  |  |  |  |  |  |  | 
 |  |  |  | You | make it sound very easy, Mister |  |  |  |  |  |  | 
 |  |  |  |  |  | 951 | 01:35:45:16 |  | 01:35:50:08 |  | 04:16 | SZANDOR:
 |  |  |  | D'Abo. |  |  |  |  |  |  |  | 
 |  |  |  |  |  |  |  |  |  |  |  | Make no mistake,
 |  |  |  |  |  |  |  |  |  |  |  | the master demands sacrifice.
 |  |  |  | SZANDOR: |  |  |  |  |  |  |  | 
 |  |  |  | Make | no mistake, |  |  |  |  |  |  | 
 |  |  |  |  |  | 952 | 01:35:50:10 |  | 01:35:52:04 |  | 01:18 | [music begins]
 |  |  |  | the master | demands sacrifice. |  |  |  |  |  |  | 
 |  |  |  | [music | begins] |  |  |  |  |  |  | 
547 | 01:35:51:12 |  |  | GLITCH |  |  |  |  |  |  |  | 
548 | 01:35:52:04 |  |  | CU - | THE OWL | 953 | 01:35:52:06 |  | 01:35:53:02 |  | 00:20 | NARRATOR (VO):
 |  |  |  |  |  |  |  |  |  |  |  | D'Abo's activities
 |  |  |  | NARRATOR | (VO): |  |  |  |  |  |  | 
 |  |  |  | D'Abo's | activities |  |  |  |  |  |  | 
 |  |  |  |  |  | 954 | 01:35:53:04 |  | 01:35:55:02 |  | 01:22 | come to the
 |  |  |  |  |  |  |  |  |  |  |  | attention of the FBI,
 |  |  |  | come | to the |  |  |  |  |  |  | 
 |  |  |  | attention | of the FBI, |  |  |  |  |  |  | 
549 | 01:35:53:13 |  |  | CU - | A SKULL |  |  |  |  |  |  | 
550 | 01:35:54:23 |  |  | MS - | THE SWORD | 955 | 01:35:55:04 |  | 01:35:58:20 |  | 03:16 | who suspect the cults of
 |  |  |  |  |  |  |  |  |  |  |  | kidnapping and firearm offences.
 |  |  |  | who | suspect the cults of |  |  |  |  |  |  | 
 |  |  |  | kidnapping | and firearm offences. |  |  |  |  |  |  | 
 |  |  |  |  |  |  |  |  |  |  |  | pg. 69
551 | 01:35:56:09 |  |  | MWS | - D'ABO STANDS WITH THE | 956 | 01:35:58:22 |  | 01:36:01:20 |  | 02:22 | But even more alarming are
 |  |  |  | WOMEN |  |  |  |  |  |  |  | the stories of children
 |  |  |  | But even | more alarming are |  |  |  |  |  |  | 
 |  |  |  | the stories | of children |  |  |  |  |  |  | 
552 | 01:36:00:12 |  |  | MS - | D'ABO HOLDS THE SWORD | 957 | 01:36:01:22 |  | 01:36:04:07 |  | 02:09 | being bred for human sacrifice.
 |  |  |  | being | bred for human sacrifice. |  |  |  |  |  |  | 
553 | 01:36:04:04 |  |  | MCU | - THE GIRL WATCHES | 958 | 01:36:04:09 |  | 01:36:05:18 |  | 01:09 | SZANDOR (OS):
 |  |  |  |  |  |  |  |  |  |  |  | And the spilling of blood.
 |  |  |  | SZANDOR | (OS): |  |  |  |  |  |  | 
 |  |  |  | And | the spilling of blood. |  |  |  |  |  |  | 
554 | 01:36:06:04 |  |  | MCU | - THE GIRL WATCHES | 959 | 01:36:06:18 |  | 01:36:10:10 |  | 03:16 | Come forth, open
 |  |  |  |  |  |  |  |  |  |  |  | the gates of hell.
 |  |  |  | Come | forth, open |  |  |  |  |  |  | 
 |  |  |  | the gates | of hell. |  |  |  |  |  |  | 
555 | 01:36:07:18 |  |  | CU - | THE GIRL WATCHES | 960 | 01:36:10:12 |  | 01:36:11:10 |  | 00:22 | NARRATOR (VO):
 |  |  |  |  |  |  |  |  |  |  |  | D'Abo claims
 |  |  |  | NARRATOR | (VO): |  |  |  |  |  |  | 
 |  |  |  | D'Abo | claims |  |  |  |  |  |  | 
556 | 01:36:11:01 |  |  | MCU | - D'ABO CUTS HIS HAND | 961 | 01:36:11:12 |  | 01:36:14:04 |  | 02:16 | that anyone who witnesses
 |  |  |  | WITH | THE SWORD |  |  |  |  |  |  | these dreadful rituals
 |  |  |  | that anyone | who witnesses |  |  |  |  |  |  | 
 |  |  |  | these | dreadful rituals |  |  |  |  |  |  | 
557 | 01:36:13:10 |  |  | MCU | - THE WOMAN CUTS HER | 962 | 01:36:14:06 |  | 01:36:17:05 |  | 02:23 | will fall under the spell
 |  |  |  | HAND | WITH THE SWORD |  |  |  |  |  |  | of the demon Abraxas,
 |  |  |  | will | fall under the spell |  |  |  |  |  |  | 
 |  |  |  | of the | demon Abraxas, |  |  |  |  |  |  | 
558 | 01:36:15:03 |  |  | MCU | - THE WOMAN CUTS HER |  |  |  |  |  |  | 
 |  |  |  | HAND | WITH A SWORD |  |  |  |  |  |  | 
559 | 01:36:16:19 |  |  | CU - | D'ABO RUBS THE BLOOD ON | 963 | 01:36:17:07 |  | 01:36:19:15 |  | 02:08 | and so perform
 |  |  |  | HANDS |  |  |  |  |  |  |  | his earthly bidding.
 |  |  |  | and so | perform |  |  |  |  |  |  | 
 |  |  |  | his earthly | bidding. |  |  |  |  |  |  | 
560 | 01:36:19:16 |  |  | MS - | D'ABO CHANTS | 964 | 01:36:19:17 |  | 01:36:22:12 |  | 02:19 | SZANDOR:
 |  |  |  |  |  |  |  |  |  |  |  | And so it is done!
 |  |  |  | SZANDOR: |  |  |  |  |  |  |  | 
 |  |  |  | And | so it is done! |  |  |  |  |  |  | 
561 | 01:36:21:18 |  |  | FS -THE | HELICOPTER FLIES ON | 965 | 01:36:22:14 |  | 01:36:25:07 |  | 02:17 | NARRATOR (VO):
 |  |  |  |  |  |  |  |  |  |  |  | Events take a tragic turn in
 |  |  |  | NARRATOR | (VO): |  |  |  |  |  |  | August '74,
 |  |  |  | Events | take a tragic turn in August '74, |  |  |  |  |  |  | 
562 | 01:36:23:02 |  |  | FS - | THE COTTAGE |  |  |  |  |  |  | 
 |  |  |  |  |  |  |  |  |  |  |  | pg. 70
563 | 01:36:25:07 |  |  | FS - | THE COPS WALK IN | 966 | 01:36:25:09 |  | 01:36:28:01 |  | 02:16 | when federal agencies
 |  |  |  |  |  |  |  |  |  |  |  | lay siege to the house.
 |  |  |  | when | federal agencies |  |  |  |  |  |  | 
 |  |  |  | lay siege | to the house. |  |  |  |  |  |  | 
564 | 01:36:27:16 |  |  | FS - | THE COPS WATCH | 967 | 01:36:28:03 |  | 01:36:29:18 |  | 01:15 | REPORTER (OS):
 |  |  |  |  |  |  |  |  |  |  |  | Shots have been fired.
 |  |  |  | REPORTER | (OS): |  |  |  |  |  |  | 
 |  |  |  | Shots | have been fired. |  |  |  |  |  |  | 
 |  |  |  |  |  | 968 | 01:36:29:20 |  | 01:36:30:21 |  | 01:01 | NARRATOR (VO):
 |  |  |  |  |  |  |  |  |  |  |  | After a tense three-day- Standoff.
 |  |  |  | NARRATOR | (VO): |  |  |  |  |  |  | 
 |  |  |  | After | a tense three-day- Standoff. |  |  |  |  |  |  | 
 |  |  |  |  |  | 969 | 01:36:30:23 |  | 01:36:32:19 |  | 01:20 | REPORTER (OS):
 |  |  |  |  |  |  |  |  |  |  |  | Just heard an- Explosion.
 |  |  |  | REPORTER | (OS): |  |  |  |  |  |  | 
 |  |  |  | Just | heard an- Explosion. |  |  |  |  |  |  | 
565 | 01:36:31:18 |  |  | MWS | - THE COPS HOLD THE | 970 | 01:36:32:21 |  | 01:36:33:20 |  | 00:23 | NARRATOR (VO):
 |  |  |  | RIFLES |  |  |  |  |  |  |  | D'Abo commands his followers
 |  |  |  | NARRATOR | (VO): |  |  |  |  |  |  | 
 |  |  |  | D'Abo | commands his followers |  |  |  |  |  |  | 
566 | 01:36:33:08 |  |  | FS - | THE COTTAGE BURNS | 971 | 01:36:33:22 |  | 01:36:38:07 |  | 04:09 | to douse the premises,
 |  |  |  |  |  |  |  |  |  |  |  | and themselves, in gasoline.
 |  |  |  | to douse | the premises, |  |  |  |  |  |  | 
 |  |  |  | and themselves, | in gasoline. |  |  |  |  |  |  | 
567 | 01:36:35:08 |  |  | FS - | THE COTTAGE BURNS |  |  |  |  |  |  | 
568 | 01:36:37:07 |  |  | FS - | THE COTTAGE BURNS | 972 | 01:36:38:09 |  | 01:36:39:05 |  | 00:20 | [music ends]
 |  |  |  | [music | ends] |  |  |  |  |  |  | 
569 | 01:36:39:06 |  |  | IMAGES | - AN AGENT HOLDING A | 973 | 01:36:39:07 |  | 01:36:40:07 |  | 01:00 | [music begins]
 |  |  |  | CHILD | IN HIS ARMS |  |  |  |  |  |  | 
 |  |  |  |  |  | 974 | 01:36:40:09 |  | 01:36:43:17 |  | 03:08 | NARRATOR (VO):
 |  |  |  | [music | begins] |  |  |  |  |  |  | 
 |  |  |  |  |  |  |  |  |  |  |  | But remarkably,
 |  |  |  |  |  |  |  |  |  |  |  | among the smouldering ruins,
 |  |  |  | NARRATOR | (VO): |  |  |  |  |  |  | 
 |  |  |  | But remarkably, |  |  |  |  |  |  |  | 
 |  |  |  |  |  | 975 | 01:36:43:19 |  | 01:36:46:17 |  | 02:22 | a terrified 10-year-old
 |  |  |  | among | the smouldering ruins, |  |  |  |  |  |  | 
 |  |  |  |  |  |  |  |  |  |  |  | girl is discovered,
 |  |  |  | a terrified | 10-year-old |  |  |  |  |  |  | 
 |  |  |  |  |  | 976 | 01:36:46:19 |  | 01:36:49:06 |  | 02:11 | she goes only by
 |  |  |  | girl is | discovered, |  |  |  |  |  |  | 
 |  |  |  |  |  |  |  |  |  |  |  | the name of Lily.
 |  |  |  | she goes | only by |  |  |  |  |  |  | 
 |  |  |  |  |  | 977 | 01:36:49:08 |  | 01:36:51:10 |  | 02:02 | Her memories of her time
 |  |  |  | the name | of Lily. |  |  |  |  |  |  | 
 |  |  |  |  |  |  |  |  |  |  |  | in the house,
 |  |  |  | Her memories | of her time |  |  |  |  |  |  | 
 |  |  |  |  |  | 978 | 01:36:51:12 |  | 01:36:53:16 |  | 02:04 | fractured and incomplete.
 |  |  |  | in the | house, |  |  |  |  |  |  | 
 |  |  |  | fractured | and incomplete. |  |  |  |  |  |  | 
570 | 01:36:52:22 |  |  | IMAGE | - THE NURSES HOLDING | 979 | 01:36:53:18 |  | 01:36:57:18 |  | 04:00 | Was her survival part of
 |  |  |  | A GIRL |  |  |  |  |  |  |  | D'Abo's wicked master plan?
 |  |  |  | Was | her survival part of | 980 | 01:36:57:20 |  | 01:37:00:11 |  | 02:15 | Or was she simply the lucky one?
 |  |  |  | D'Abo's | wicked master plan? |  |  |  |  |  |  | 
 |  |  |  |  |  |  |  |  |  |  |  | pg. 71
 |  |  |  | Or was | she simply the lucky one? |  |  |  |  |  |  | 
571 | 01:36:57:23 |  |  | IMAGE | - THE DOCTOR HOLDS UP | 981 | 01:37:00:13 |  | 01:37:03:07 |  | 02:18 | At a loss to explain
 |  |  |  | A SYRINGE |  |  |  |  |  |  |  | Lilly's strange behaviour,
 |  |  |  | At a | loss to explain |  |  |  |  |  |  | 
 |  |  |  | Lilly's | strange behaviour, |  |  |  |  |  |  | 
572 | 01:37:00:14 |  |  | IMAGE | - THE GIRL STANDS ON | 982 | 01:37:03:09 |  | 01:37:06:21 |  | 03:12 | the FBI contacts my
 |  |  |  | THE | TERRACE |  |  |  |  |  |  | psi-research centre.
 |  |  |  | the FBI | contacts my |  |  |  |  |  |  | 
 |  |  |  | psi-research | centre. |  |  |  |  |  |  | 
573 | 01:37:06:10 |  |  | IMAGES | - JUNE SPEAKS TO LILLY | 983 | 01:37:06:23 |  | 01:37:09:18 |  | 02:19 | Lilly and I make an
 |  |  |  |  |  |  |  |  |  |  |  | immediate connection.
 |  |  |  | Lilly | and I make an |  |  |  |  |  |  | 
 |  |  |  | immediate | connection. | 984 | 01:37:09:20 |  | 01:37:11:11 |  | 01:15 | Important breakthroughs follow
 |  |  |  | Important | breakthroughs follow |  |  |  |  |  |  | 
574 | 01:37:11:03 |  |  | MS - | TAPE RECORDING | 985 | 01:37:11:13 |  | 01:37:13:21 |  | 02:08 | but there is still
 |  |  |  | TEXT | - FIRST CONVERSATION |  |  |  |  |  |  | much work to be done.
 |  |  |  | 2.30 | PM |  |  |  |  |  |  | 
 |  |  |  | July | 10, 1976 | 986 | 01:37:13:23 |  | 01:37:14:11 |  | 00:12 | [music ends]
 |  |  |  | but there | is still |  |  |  |  |  |  | 
 |  |  |  |  |  | 987 | 01:37:14:13 |  | 01:37:18:14 |  | 04:01 | LILY (OS) (ON RECORDING):
 |  |  |  | much | work to be done. |  |  |  |  |  |  | 
 |  |  |  |  |  |  |  |  |  |  |  | It's 2:30 p.m., July 10th, 1976.
 |  |  |  | [music | ends] |  |  |  |  |  |  | 
 |  |  |  |  |  | 988 | 01:37:18:16 |  | 01:37:20:14 |  | 01:22 | This is a recording
 |  |  |  |  |  |  |  |  |  |  |  | of our first session.
 |  |  |  | LILY | (OS) (ON RECORDING): |  |  |  |  |  |  | 
 |  |  |  | It's 2:30 | p.m., July 10th, 1976. |  |  |  |  |  |  | 
 |  |  |  |  |  | 989 | 01:37:21:10 |  | 01:37:23:08 |  | 01:22 | [Lilly breathing heavily]
 |  |  |  | This | is a recording |  |  |  |  |  |  | 
 |  |  |  | of our | first session. | 990 | 01:37:23:10 |  | 01:37:23:21 |  | 00:11 | Okay.
 |  |  |  | [Lilly | breathing heavily] |  |  |  |  |  |  | 
 |  |  |  |  |  | 991 | 01:37:23:23 |  | 01:37:24:16 |  | 00:17 | [Lilly groans]
 |  |  |  | Okay. |  |  |  |  |  |  |  | 
 |  |  |  |  |  | 992 | 01:37:24:18 |  | 01:37:26:05 |  | 01:11 | It seems we've made contact.
 |  |  |  | [Lilly | groans] |  |  |  |  |  |  | 
 |  |  |  | It seems | we've made contact. |  |  |  |  |  |  | 
575 | 01:37:26:02 |  |  | CU - | TAPE RECORDING | 993 | 01:37:27:07 |  | 01:37:28:19 |  | 01:12 | Who am I speaking to now?
 |  |  |  | Who | am I speaking to now? |  |  |  |  |  |  | 
576 | 01:37:31:01 |  |  | CU -THE | METER | 994 | 01:37:31:19 |  | 01:37:32:18 |  | 00:23 | Is this the demon known as-
 |  |  |  | Is this | the demon known as- | 995 | 01:37:32:20 |  | 01:37:33:23 |  | 01:03 | [Lilly yells hysterically]
 |  |  |  | [Lilly | yells hysterically] |  |  |  |  |  |  | 
 |  |  |  |  |  | 996 | 01:37:34:01 |  | 01:37:35:05 |  | 01:04 | LILY (OS) (ON RECORDING):
 |  |  |  |  |  |  |  |  |  |  |  | Aah!
 |  |  |  | LILY | (OS) (ON RECORDING): |  |  |  |  |  |  | 
 |  |  |  | Aah! |  |  |  |  |  |  |  | 
 |  |  |  |  |  |  |  |  |  |  |  | pg. 72
 |  |  |  | JUNE: |  | 997 | 01:37:37:05 |  | 01:37:39:00 |  | 01:19 | JUNE:
 |  |  |  | Help, | we need help in here! |  |  |  |  |  |  | Help, we need help in here!
 |  |  |  | [Lilly | groaning and yelling] | 998 | 01:37:39:02 |  | 01:37:41:05 |  | 02:03 | [Lilly groaning and yelling]
577 | 01:37:39:15 |  |  | CU - | TAPE RECORDING |  |  |  |  |  |  | 
578 | 01:37:43:20 |  |  | FS - | JACK STANDS AND CLAPS. | 999 | 01:37:45:21 |  | 01:37:46:17 |  | 00:20 | JACK:
 |  |  |  | HAIG | STANDS |  |  |  |  |  |  | Wow.
 |  |  |  | JACK: |  |  |  |  |  |  |  | 
 |  |  |  |  |  | 1000 | 01:37:47:14 |  | 01:37:50:00 |  | 02:10 | Ladies and gentlemen,
 |  |  |  | Wow. |  |  |  |  |  |  |  | please welcome
 |  |  |  | Ladies | and gentlemen, |  |  |  |  |  |  | 
 |  |  |  |  |  | 1001 | 01:37:50:02 |  | 01:37:53:08 |  | 03:06 | Dr. June Ross-Mitchell
 |  |  |  | please | welcome |  |  |  |  |  |  | 
 |  |  |  |  |  |  |  |  |  |  |  | and Lilly.
 |  |  |  | Dr. June | Ross-Mitchell |  |  |  |  |  |  | 
 |  |  |  |  |  | 1002 | 01:37:53:10 |  | 01:37:54:03 |  | 00:17 | [audience cheering]
 |  |  |  | and Lilly. |  |  |  |  |  |  |  | 
 |  |  |  |  |  | 1003 | 01:37:54:05 |  | 01:37:55:08 |  | 01:03 | [music begins]
 |  |  |  | [audience | cheering] |  |  |  |  |  |  | 
 |  |  |  | [music | begins] |  |  |  |  |  |  | 
579 | 01:37:54:19 |  |  | MWS | - JACK CLAPS |  |  |  |  |  |  | 
580 | 01:37:56:18 |  |  | FS - | JUNE WALKS IN. JACK STEPS |  |  |  |  |  |  | 
 |  |  |  | TOWARDS | HER |  |  |  |  |  |  | 
581 | 01:37:59:19 |  |  | MWS | - JACK GREETS JUNE |  |  |  |  |  |  | 
582 | 01:38:03:03 |  |  | FS - | LILLY WALKS ON THE STAGE | 1004 | 01:38:03:06 |  | 01:38:04:20 |  | 01:14 | JUNE:
 |  |  |  |  |  |  |  |  |  |  |  | You can come out.
 |  |  |  | JUNE: |  |  |  |  |  |  |  | 
 |  |  |  | You | can come out. |  |  |  |  |  |  | 
 |  |  |  |  |  | 1005 | 01:38:05:19 |  | 01:38:06:13 |  | 00:18 | JACK:
 |  |  |  |  |  |  |  |  |  |  |  | Hi.
 |  |  |  | JACK: |  |  |  |  |  |  |  | 
 |  |  |  | Hi. |  |  |  |  |  |  |  | 
 |  |  |  |  |  | 1006 | 01:38:06:15 |  | 01:38:07:09 |  | 00:18 | AUDIENCE (OS):
 |  |  |  |  |  |  |  |  |  |  |  | Aw.
 |  |  |  | AUDIENCE | (OS): |  |  |  |  |  |  | 
 |  |  |  | Aw. |  |  |  |  |  |  |  | 
 |  |  |  |  |  | 1007 | 01:38:07:11 |  | 01:38:07:19 |  | 00:08 | [audience cheering]
 |  |  |  | [audience | cheering] |  |  |  |  |  |  | 
 |  |  |  |  |  | 1008 | 01:38:07:21 |  | 01:38:09:07 |  | 01:10 | JACK (OS):
 |  |  |  |  |  |  |  |  |  |  |  | Lilly.
 |  |  |  | JACK | (OS): |  |  |  |  |  |  | 
 |  |  |  | Lilly. |  |  |  |  |  |  |  | 
 |  |  |  |  |  | 1009 | 01:38:09:09 |  | 01:38:10:05 |  | 00:20 | June.
 |  |  |  | June. |  |  |  |  |  |  |  | 
 |  |  |  |  |  | 1010 | 01:38:10:07 |  | 01:38:12:16 |  | 02:09 | [audience cheering]
 |  |  |  | [audience | cheering] |  |  |  |  |  |  | 
583 | 01:38:10:13 |  |  | MS - | GUS CLAPS |  |  |  |  |  |  | 
584 | 01:38:13:04 |  |  | MS - | LILLY WATCHES |  |  |  |  |  |  | 
585 | 01:38:14:07 |  |  | FS - | JACK SHAKES HANDS WITH | 1011 | 01:38:14:21 |  | 01:38:15:11 |  | 00:14 | JACK:
 |  |  |  | LILLY |  |  |  |  |  |  |  | How are ya?
 |  |  |  |  |  |  |  |  |  |  |  | pg. 73
 |  |  |  | JACK: |  | 1012 | 01:38:15:13 |  | 01:38:17:13 |  | 02:00 | [music ends]
 |  |  |  | How | are ya? |  |  |  |  |  |  | 
 |  |  |  | [music | ends] |  |  |  |  |  |  | 
586 | 01:38:17:22 |  |  | MS - | JACK SHAKES HANDS WITH | 1013 | 01:38:19:00 |  | 01:38:19:14 |  | 00:14 | JACK:
 |  |  |  | LILLY |  |  |  |  |  |  |  | Whoa!
 |  |  |  | JACK: |  |  |  |  |  |  |  | 
 |  |  |  |  |  | 1014 | 01:38:19:16 |  | 01:38:20:19 |  | 01:03 | [June laughs]
 |  |  |  | Whoa! |  |  |  |  |  |  |  | 
 |  |  |  |  |  | 1015 | 01:38:20:21 |  | 01:38:22:05 |  | 01:08 | JACK (ON/OS):
 |  |  |  | [June | laughs] |  |  |  |  |  |  | 
 |  |  |  |  |  |  |  |  |  |  |  | Good to meet ya.
 |  |  |  | JACK | (ON/OS): |  |  |  |  |  |  | 
