FILENAME: COYOTE_102_TV_As-Broadcast Dialogue List (1).docx
STRUCTURE: table_with_timecodes
=== RAW TEXT ===
=== PARAGRAPHS ===
COYOTE
Episode 102 – Final
Episode Title: “Silver or Lead”
RT: 48:14
as-broadcast DIALOGUE LIST
Produced by:
The Carnes & Gilbert Business
Dark Horse Entertainment
Narrative Ballistics
MacLaren Entertainment
Paramount Network Original
Sony Pictures Television Studios
DIALOGUE LIST

=== TABLE 1 (442 rows x 3 cols) ===
TIME CODE | CHARACTER | DIALOGUE
01:06:33:20 | MARIA | (speaking Spanish) No me estás escuchando. Te dije que dejaras todo eso. Estás gordo. Esas cosas nomás nos van a hacer que vayamos más lento.
01:06:33:22 | SUBTITLE (MARIA) | You're not listening to me.
01:06:36:08 | SUBTITLE (MARIA) | I told you to drop all that stuff.
01:06:38:04 | SUBTITLE (MARIA) | You're fat... It's just going to slow us down.
01:06:40:10 | BEN | (overlaps) I know what "gordo" means. And we wouldn't even be walking out here at all if you hadn't filled a guy's head with expanding foam. Fuck! <breathes heavily>
(gordo = translation)
01:06:48:14 | SUBTITLE (MARIA) | If you had listened, we could've come
across in a fucking car.
01:06:48:17 | MARIA | (speaking Spanish) Si me hubieras hecho caso hace unos días, hubiéramos cruzado en un puto carro.
01:06:49:17 | BEN | (overlaps) You have no idea what you've gotten us into. <breathes heavily> You're too young to understand what these people are capable of. <breathes heavily>
01:06:56:21 | MARIA | (speaking Spanish) Dante no va a parar hasta que recupere a su hijo, gringo estúpido. <breathes heavily>
01:06:57:01 | SUBTITLE (MARIA) | Dante won't stop until he gets his son.
01:06:59:12 | SUBTITLE (MARIA) | Stupid gringo.
01:07:02:03 | BEN | What? (speaking Spanish) "Hijo"? <breathes heavily>
01:07:10:08 | SUBTITLE (MARIA) | They are never going to leave me alone.
01:07:10:10 | MARIA | (speaking Spanish) Nunca me van a dejar en paz. No tienes idea de lo que significa un hijo para esa familia.
01:07:13:06 | SUBTITLE (MARIA) | You have no idea what a son
means to that family.
01:07:16:14 | BEN | <pants> We have to keep moving. <pants> When we get to the United States, you'll have to apply for asylum. Asylum? Get it?
01:07:29:23 | MARIA | (speaking Spanish) Sí, (speaking English) asylum.
01:07:31:07 | BEN | Eh, don't get too excited. To them, you're just another "TONK" right now.
01:07:36:07 | MARIA | "Tonk"?
01:07:37:14 | BEN | (breathing heavily) Territory of origin not known. Now, if we get separated, you're gonna have to know what to say. And (speaking Spanish) inglés (speaking English) is better. Okay?
01:07:46:00 | SUBTITLE (MARIA) | I don't speak English.
01:07:46:05 | MARIA | (speaking Spanish) Pero no hablo inglés.
01:07:47:23 | BEN | (breathing heavily) "I am unable to return to Mexico because I have a well-founded fear of persecution." Okay?
01:07:56:04 | MARIA | Huh?
01:07:56:14 | BEN | "I am unable to return to Mex--" <breathes heavily> Shit.
01:08:03:12 | BEN | Come with me, now. Come on. (speaking Spanish) ¡Rápido! <pants> (speaking English) Over there, over there. <panting>
01:08:15:14 | BEN | This way. <panting and grunting>
01:08:26:03 | BEN | Give me your foot. <grunts> Fuck. (breathing heavily) Hold it. Hold it, (speaking Spanish) sí. <breathes heavily> <grunts> (speaking English) I learned this from illegals like you. Okay, now soft, soft. See? No footprints.
01:08:48:22 | BEN | There.
01:08:55:22 | BEN | (breathing heavily) Inside. All right, give me your backpack. Come on. All right. All right. Perfect! Perfect. All right, get down. Come on. All right. And-- And don't move until I come back.
01:09:14:00 | MARIA | (speaking Spanish) No, Migra, no te vayas, por favor. Te prometo que ya no voy a molestar. Por favor. <whimpers>
01:09:14:01 | SUBTITLE (MARIA) | I'm sorry. Migra. Please don't leave.
I'll stop complaining.
01:09:18:18 | BEN | (overlaps) Shh! (whispering) Stay quiet. Hide here. I'm coming back.
01:09:34:11 | BEN | <panting and grunting>
01:10:17:11 | BEN | <grunts>
01:10:38:19 | FEMALE TRACKER | Las huellas terminan aquí. Sepárense.
01:10:41:16 | MALE TRACKER | (speaking Spanish) No deben de estar muy lejos. Nos dividimos y seguimos las pistas.
01:11:02:02 | MARIA | <shuddering breath>
01:11:21:11 | MALE TRACKER | (speaking Spanish) Encontré algo.
01:11:21:14 | SUBTITLE (MALE TRACKER) | I found something.
01:11:25:05 | MARIA | <shuddering breaths>
01:11:36:11 | MALE TRACKER | (speaking Spanish) Se fueron por aquí.
01:11:53:16 | FEMALE TRACKER | (speaking Spanish) Hay huellas en el pasto. Deben estar cerca.
01:11:57:21 | MALE TRACKER | (speaking Spanish) Sí. Aquí también veo zacate quebrado.
01:12:08:22 | FEMALE TRACKER | (speaking Spanish) Subieron por aquí. Atrás de las rocas. Búsquenlos.
01:12:18:00 | MALE TRACKER | (speaking Spanish) Te venís rápido. Hay arena en las rocas.
01:12:36:04 | MALE TRACKER | (speaking Spanish) Los audífonos de la niña.
01:12:36:13 | SUBTITLE (MALE TRACKER) | The girl's headphones.
01:12:42:18 | FEMALE TRACKER | (speaking Spanish) Debieron ir del otro lado. Vamos.
01:12:42:23 | SUBTITLE (FEMALE TRACKER) | They must have gone over the other side.
01:12:58:00 | BEN | <pants>
01:13:07:14 | MARIA | <grunts>
01:13:08:10 | BEN | <panting> Smart girl. <grunting and panting>
01:13:26:19 | BEN | Again.
01:13:27:21 | MARIA | "I am unable--"
01:13:30:00 | BEN | "I am unable-- Un-able."
01:13:32:19 | MARIA | "I am unable…"
01:13:35:12 | BEN | "To return…"
01:13:37:19 | MARIA | "I am unable…"
01:13:39:18 | BEN | "To return…"
01:13:41:21 | MARIA | "To 'ray-tone.'"
01:13:42:21 | BEN | "To return." Return, return!
01:13:45:01 | MARIA | "To ray-tone.'"
01:13:45:20 | BEN | "Return!"
01:13:46:14 | MARIA | "Ray-tone!" <sighs>
01:13:48:22 | BEN | <sighs> (breathing heavily) Again. "I am unable to return to Mexico because I have a well-founded fear..."
01:13:58:13 | BEN / MARIA | <panting>
01:14:02:14 | MARIA | (overlaps) <muttering indistinctly>
01:14:11:14 | BEN | "I have a well-founded fear..."
01:14:12:12 | MARIA | (overlaps) <light chuckle>
01:14:13:20 | BEN / MARIA | <panting>
01:14:20:05 | MARIA | "I have a well-founded fear..."
01:14:23:02 | BEN / MARIA | <panting>
01:14:37:15 | MARIA / BEN | <panting> (continues through scene)
01:14:53:17 | BEN | Jerky?
01:14:55:13 | MARIA | Uh-huh.
01:15:00:07 | BEN | <grunts> <groans> Jeez. Fucking terrible. <grunts>
01:15:10:20 | MARIA | (speaking Spanish) Así vamos a quedar nosotros.
01:15:10:23 | SUBTITLE (MARIA) | What we're going to look like soon.
01:15:13:16 | BEN | <grunts>
01:15:15:13 | MARIA | (speaking Spanish) Arrugados. Tiesos. Muertos.
01:15:15:15 | SUBTITLE (MARIA) | Wrinkled. Stiff.
01:15:19:04 | SUBTITLE (MARIA) | Dead.
01:15:23:09 | MARIA | (speaking Spanish) Sal.
01:15:23:11 | SUBTITLE (MARIA) | Salt.
01:15:24:06 | BEN | Huh?
01:15:25:02 | MARIA | (speaking Spanish) Sal. Salt y agua. (speaking English) Is good for (speaking Spanish) desierto.
01:15:26:13 | SUBTITLE (MARIA) | Salt and water.
01:15:32:02 | BEN | What?
01:15:36:23 | BEN | Oh. <grunts> <munches> Mmm. Mmm. What the-- Hot! <grunts and groans> <sighs> <gulps> Ah. <pants> Not the best use of our (speaking Spanish) agua. <panting>
01:16:19:21 | BEN | <grunts> <pants> Uh-- What?
01:16:23:23 | SUBTITLE (MARIA) | It's okay.
01:16:24:03 | MARIA | (speaking Spanish) Está bien. Es para tu cuello.
01:16:26:05 | SUBTITLE (MARIA) | For your neck.
01:16:29:23 | BEN | Uh...
01:16:30:15 | MARIA | Mm-hmm. (speaking Spanish) Dámela.
01:16:35:19 | BEN | <sighs> <panting> (speaking Spanish) Gracias.
01:16:45:05 | MARIA | Hm. (speaking Spanish) De nada.
01:16:52:11 | BEN | <grunts>
01:16:53:23 | MARIA | <grunts>
01:16:55:23 | BEN | <grunts>
01:16:57:12 | MARIA | <gulps>
01:17:04:03 | MARIA | (speaking Spanish) ¿Tenés hijos?
01:17:04:03 | SUBTITLE (MARIA) | You have children?
01:17:06:09 | BEN | Kids?
01:17:07:03 | MARIA | Mm-hmm.
01:17:08:15 | BEN | Uh, (speaking Spanish) sí, uno.
01:17:11:11 | MARIA | (speaking Spanish) ¿Un varón? ¿Hijo?
01:17:14:12 | BEN | No, uh, (speaking Spanish) hija. (speaking English) Daughter.
01:17:16:20 | MARIA | Daughter.
01:17:19:19 | MARIA | (speaking Spanish) Ellas... Ellas aman (speaking English) father. Much... love.
01:17:29:18 | BEN | Yeah, well, <grunts> we're not as close as I'd like. <sighs> Still don't have a signal. We're gonna have to keep moving. How's that baby? Still kicking?
01:17:42:08 | MARIA | Mm, (speaking Spanish) sí. Sí.
01:17:47:03 | MARIA | (speaking Spanish) Mi bebé... Juan Carlos.
01:17:49:18 | BEN | Huh?
01:17:51:13 | SUBTITLE (MARIA) | That was my father's name.
01:17:51:14 | MARIA | (speaking Spanish) Así se llamaba mi papá.
01:17:54:18 | BEN | Ah. He'll like that, (speaking Spanish) tu papá. (speaking English) Happy.
01:18:09:14 | SUBTITLE (MARIA) | And your daughter?
01:18:09:18 | MARIA | (speaking Spanish) ¿Y tu hija?
01:18:11:23 | BEN | My daughter? Katie.
01:18:16:11 | MARIA | Katie.
01:18:20:17 | MARIA | (speaking Spanish) Tiene suerte de que vos seas su papá.
01:18:20:21 | SUBTITLE (MARIA) | She's lucky. To have you for a father...
01:18:24:00 | BEN | (breathing heavily) (speaking Spanish) Suerte. (speaking English) Yeah, well… uh, something happened at work when she was just a little kid. Nothing was the same after it. I became a giant dick. Angry, drinking... Jill was great at first. I think she just got tired of trying.
01:18:49:09 | BEN | <sighs> (speaking Spanish) ¿Cómo se dice, (speaking English) uh, "divorced"?
01:18:53:21 | MARIA | (speaking Spanish) Divorciado.
01:18:55:06 | BEN | (breathing heavily) Yeah, that sounds about right. I'll bet you're gonna be a much better mom than I was a father. Most people, they say that they'd kill for their kids. Very few people actually have. <grunts>
01:19:19:08 | BEN | Motherfucker! <breathing heavily>
01:19:20:12 | MARIA | (overlaps) <shuddering breaths>
01:19:25:01 | BEN | <chuckles> Garbage is good. Garbage means civilization, huh? Come on. <chuckles>
01:19:51:07 | BEN | <grunts>
01:20:06:05 | FEMALE TRACKER | (speaking Spanish) Nos dividimos. Sin armas. Vivo.
01:20:06:05 | SUBTITLE (TRACKER) | We separate.
01:20:08:17 | SUBTITLE (TRACKER) | No guns.
01:20:10:17 | SUBTITLE (TRACKER) | Alive.
01:20:23:09 | BEN | (breathing heavily) I think it's this way. <panting>
01:20:30:11 | MARIA | (overlaps) "Think"?
01:20:38:06 | BEN | <grunts> <sighs> <panting>
01:20:42:18 | MARIA | (overlaps) "I am unab-- Unable… I-- I am unable…"
01:20:53:04 | MARIA | "I am unable to re-- to return to Mexico. I am unable to return to Mexico because I have… <grunts> I have a-- a well-'funded' fear of-- of the Constitution." <indistinct whispering>
01:21:10:15 | BEN | (into phone) Garrett, it's me. I think we got a little off-course. Forget that first pin I sent you.
01:21:13:22 | MARIA | (overlaps) "I am... I am un-- Unable..."
01:21:18:21 | BEN | (into phone) I think we're a few miles east. Use this one instead.
01:21:21:17 | MARIA | (overlaps) "I am unable..."
01:21:25:22 | BEN | Hey. Come on.
01:21:43:00 | MARIA | <panting>
01:21:59:04 | MARIA | <shrieks> <whimpering> <shuddering breaths>
01:22:06:02 | BEN | (overlaps) We're gonna have to go over. Go! Sons of bitches. They're trying to run us till they wear us out. Come on. <grunts> Go.
01:22:54:14 | BEN | <panting>
01:23:31:16 | MARIA | <groans> <retches> <coughs> <retching and whimpering>
01:23:48:19 | BEN | It's okay. Just--
01:23:49:20 | MARIA | (speaking Spanish) Así vamos a quedar nosotros si no nos cuidamos. <retching>
01:23:49:20 | SUBTITLE (MARIA) | This will be us if we're not careful...
01:23:59:21 | BEN | (whispering) Here.
01:24:01:21 | MARIA | <grunts> <retches>
01:24:06:23 | BEN | Here, (speaking Spanish) agua. (speaking English) You'll feel better.
01:24:15:16 | BEN | <panting>
01:24:47:23 | FEMALE TRACKER | (speaking Spanish) Alto.
01:25:13:17 | MARIA | <coughs> (speaking Spanish) ¿Qué era?
01:25:17:01 | SUBTITLE (MARIA) | What was it?
01:25:19:18 | BEN | (speaking Spanish) Nada.
01:25:30:16 | BEN | <chuckles> <panting>
01:25:33:21 | MARIA | (overlaps) <shuddering breaths> <chuckles>
01:25:39:13 | MARIA | <chuckles>
01:26:34:06 | BEN | I could lose my fucking pension over this. <panting>
01:26:58:08 | MARIA | (speaking Spanish) ¡Migra, ahí vienen! Ahí vienen, Migra.
01:27:03:06 | BEN | <grunts> Son of a bitch! Fuck.
01:27:15:09 | BEN | <grunting> Stop! Ground sensor. You go anywhere near that, (speaking Spanish) migra (speaking English) sees us. You, deported. <grunts>
01:27:24:14 | MARIA | (speaking Spanish) ¡Migra, rápido!
01:27:28:13 | BEN | <grunts> Are you kidding? <grunts>
01:27:31:17 | MARIA | <shrieks> (speaking Spanish) ¡Migra! ¡Es él!
01:27:37:19 | BEN | You wanna shoot me? Shoot! Go ahead! But if you kill us, border patrol won't stop until they find you. <panting>
01:27:45:06 | MARIA | (overlaps) <shuddering breath>
01:27:54:17 | FEMALE TRACKER | See you soon.
01:27:59:08 | BEN | Huh? <panting> <grunts> <panting>
01:28:07:15 | MARIA | (overlaps) <shuddering breaths>
01:28:15:16 | BEN | Let's go.
01:28:19:13 | MARIA | <whimpering>
01:28:21:17 | BEN | Let's go.
01:28:24:10 | MARIA | <whimpers and pants>
01:28:32:09 | BEN | <sighs>
01:28:38:02 | BEN | (whispering) Go, go, go, go! Here. Get down, get down, get down.
01:28:47:13 | ON-SCREEN TEXT {on jackets} | CBP
BORDER PATROL
FEDERAL AGENT
01:28:57:02 | BORDER PATROL AGENT 1 | You got your thermals?
01:29:13:17 | BORDER PATROL AGENT 2 | Nothing.
01:29:15:13 | BORDER PATROL AGENT 1 | Something came through that hole back there.
01:29:17:17 | BORDER PATROL AGENT 2 | Let's make another run up Palm Canyon Walk.
01:29:24:03 | BEN | <grunts> <pants> <chuckles> I can't believe that actually worked.
01:29:33:05 | BEN | <breathing heavily> Yeah, this is the road. It's this way. <breathes heavily>
01:29:38:16 | MARIA | (overlaps) <whimpers>
01:29:45:20 | MARIA | (speaking Spanish) Uh, ¿tu amigo?
01:29:46:05 | SUBTITLE (MARIA) | Your friend?
01:29:48:08 | BEN | (speaking Spanish) Sí.
01:29:48:22 | MARIA | <shuddering breaths> <chuckles>
01:29:52:16 | GARRETT | (into phone) Hey, buddy.
01:29:53:18 | BEN | (through phone) You made it!
01:29:54:16 | GARRETT | (into phone) Yeah, you sure you don't wanna drop another pin or two? Maybe I can drive for another seven hours and forty-eight minutes.
01:30:01:17 | BEN | (into phone) I'm standing in the middle of the road with the light on. Can you see me?
01:30:05:04 | GARRETT | (through phone) No.
01:30:06:01 | BEN | (into phone) You sure?
01:30:06:19 | GARRETT | (through phone) Yeah, I'm sure. The GPS says another ten minutes.
01:30:10:21 | BEN | Oh, shit. We gotta get off the road. Get off the road! (speaking Spanish) ¡Vámonos! ¡Vámonos! <grunts>
01:30:13:04 | MARIA | (overlaps) <breathes heavily>
01:30:16:15 | MARIA | <whimpers>
01:30:17:22 | BEN | (whispering) Oh, shit, oh, shit. (normal) Get down!
01:30:24:10 | MARIA | <shuddering breaths>
01:30:25:08 | BEN | (overlaps) Turn the light off! Turn the light off!
01:30:28:10 | SUBTITLE (THUG IN CAR 1) | Show yourselves.
01:30:28:14 | THUG IN CAR 1 | (speaking Spanish) Sálganse de aquí.
01:30:33:11 | THUG IN CAR 2 | (speaking Spanish) Solo queremos a la chica.
01:30:33:15 | SUBTITLE (THUG IN CAR 2) | We just want the girl.
01:30:40:04 | MARIA | <shrieks> <whimpering>
01:30:44:03 | BEN | Shit!
01:30:47:09 | THUG IN CAR 1 | (speaking Spanish) ¡Salgan de ahí!
01:30:53:17 | THUG IN CAR 1 | (speaking Spanish) Danos a la chica.
01:30:53:19 | SUBTITLE (THUG IN CAR 1) | Give us the girl.
01:30:54:10 | MARIA | <whimpers>
01:30:54:22 | BEN | (overlaps) Go, go, go.
01:30:58:16 | SUBTITLE (THUG IN CAR 1) | Give us the girl now!
